locale	width	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11	month_12
ar-IQ	abbreviated	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
ar-JO	wide	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
ar-JO	abbreviated	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
ar-KM	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-KM	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-KW	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-KW	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-LB	wide	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
ar-LB	abbreviated	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
ar-LY	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-LY	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-MA	wide	يناير	فبراير	مارس	أبريل	ماي	يونيو	يوليوز	غشت	شتنبر	أكتوبر	نونبر	دجنبر
ar-MA	abbreviated	يناير	فبراير	مارس	أبريل	ماي	يونيو	يوليوز	غشت	شتنبر	أكتوبر	نونبر	دجنبر
ar-MR	wide	يناير	فبراير	مارس	إبريل	مايو	يونيو	يوليو	أغشت	شتمبر	أكتوبر	نوفمبر	دجمبر
ar-MR	abbreviated	يناير	فبراير	مارس	إبريل	مايو	يونيو	يوليو	أغشت	شتمبر	أكتوبر	نوفمبر	دجمبر
ar-OM	wide	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-OM	abbreviated	يناير	فبراير	مارس	أبريل	مايو	يونيو	يوليو	أغسطس	سبتمبر	أكتوبر	نوفمبر	ديسمبر
ar-PS	wide	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
ar-PS	abbreviated	كانون الثاني	شباط	آذار	نيسان	أيار	حزيران	تموز	آب	أيلول	تشرين الأول	تشرين الثاني	كانون الأول
