locale	length	ldml_pattern	normalized	finetype_type	note
aa-DJ	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
aa-ER	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
aa-ER	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
aa-ER	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
aa-ER	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ab	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ab	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ab	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ab	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
af	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
af	medium	dd MMM y	dd MMM y	datetime.date.abbreviated_month	abbreviated month
af	long	dd MMMM y	dd MMMM y	datetime.date.long_full_month	full month
af	full	EEEE dd MMMM y	EEEE dd MMMM y	datetime.date.weekday_full_month	weekday + full month
af-NA	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
af-NA	medium	dd MMM y	dd MMM y	datetime.date.abbreviated_month	abbreviated month
af-NA	long	dd MMMM y	dd MMMM y	datetime.date.long_full_month	full month
af-NA	full	EEEE dd MMMM y	EEEE dd MMMM y	datetime.date.weekday_full_month	weekday + full month
agq	short	d/M/y	d/M/y	datetime.date.eu_slash	DMY slash
agq	medium	d MMM, y	d MMM, y	datetime.date.abbreviated_month	abbreviated month
agq	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
agq	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
ak	short	M/d/yy	M/d/yy	datetime.date.us_slash	MDY slash
ak	medium	MMM d, y	MMM d, y	datetime.date.abbreviated_month	abbreviated month
ak	long	MMMM d, y	MMMM d, y	datetime.date.long_full_month	full month
ak	full	EEE, MMMM d, y	EEE, MMMM d, y	datetime.date.weekday_full_month	weekday + full month (alt)
am	short	dd/MM/y	dd/MM/y	datetime.date.eu_slash	DMY slash padded
am	medium	d MMM y	d MMM y	datetime.date.abbreviated_month	abbreviated month
am	long	d MMMM y	d MMMM y	datetime.date.long_full_month	full month
am	full	EEEE d MMMM y	EEEE d MMMM y	datetime.date.weekday_full_month	weekday + full month
an	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
an	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
an	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
an	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
ann	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
ann	medium	y MMM d	y MMM d	datetime.date.abbreviated_month	abbreviated month
ann	long	y MMMM d	y MMMM d	datetime.date.long_full_month	full month
ann	full	y MMMM d, EEEE	y MMMM d, EEEE	datetime.date.weekday_full_month	weekday + full month
apc	short	y-MM-dd	y-MM-dd	datetime.date.iso	YMD dash
